day,time,key,value
2,"20	",KV,"	0.039999999999992"
2,"21	",KV,"	0"
2,"22	",KV,"	0"
2,"23	",KV,"	0.00400000000000489"
3,"00	",KV,"	0"
3,"01	",KV,"	0"
3,"02	",KV,"	0"
3,"03	",KV,"	0"
3,"04	",KV,"	0.0109999999999957"
3,"05	",KV,"	0.0120000000000005"
3,"06	",KV,"	0"
3,"07	",KV,"	0"
3,"08	",KV,"	0.00300000000000011"
3,"09	",KV,"	0.0110000000000099"
3,"10	",KV,"	0.0509999999999877"
3,"11	",KV,"	0"
3,"12	",KV,"	0"
3,"13	",KV,"	0"
3,"14	",KV,"	0.0280000000000058"
3,"15	",KV,"	0"
3,"16	",KV,"	0.00199999999999534"
3,"17	",KV,"	0.00100000000000477"
3,"18	",KV,"	0.0630000000000024"
3,"19	",KV,"	0"
3,"20	",KV,"	0"
3,"21	",KV,"	0"
3,"22	",KV,"	0.00400000000000489"
3,"23	",KV,"	0"
4,"00	",KV,"	0"
4,"01	",KV,"	0"
4,"02	",KV,"	0"
4,"03	",KV,"	0"
4,"04	",KV,"	0.00999999999999091"
4,"05	",KV,"	0.0150000000000006"
4,"06	",KV,"	0"
4,"07	",KV,"	0"
4,"08	",KV,"	0.00600000000000023"
4,"09	",KV,"	0.007000000000005"
4,"10	",KV,"	0.0319999999999965"
4,"11	",KV,"	0"
4,"12	",KV,"	0"
4,"13	",KV,"	0.00400000000000489"
4,"14	",KV,"	0.0219999999999914"
4,"15	",KV,"	0"
4,"16	",KV,"	0.00900000000000034"
4,"17	",KV,"	0.109999999999999"
4,"18	",KV,"	0.007000000000005"
4,"19	",KV,"	0.00499999999999545"
4,"20	",KV,"	0.00500000000000966"
4,"21	",KV,"	0.000999999999990564"
4,"22	",KV,"	0.00100000000000477"
4,"23	",KV,"	0"
5,"00	",KV,"	0.00400000000000489"
5,"01	",KV,"	0"
5,"02	",KV,"	0"
5,"03	",KV,"	0"
5,"04	",KV,"	0.0120000000000005"
5,"05	",KV,"	0.0289999999999964"
5,"06	",KV,"	0.00300000000000011"
5,"07	",KV,"	0.0109999999999957"
5,"08	",KV,"	0.00499999999999545"
5,"09	",KV,"	0"
5,"10	",KV,"	0.0400000000000063"
5,"11	",KV,"	0.00100000000000477"
5,"12	",KV,"	0"
5,"13	",KV,"	0"
5,"14	",KV,"	0.0180000000000007"
5,"15	",KV,"	0"
5,"16	",KV,"	0.0609999999999928"
5,"17	",KV,"	0.00499999999999545"
5,"18	",KV,"	0.00300000000000011"
5,"19	",KV,"	0.085000000000008"
5,"20	",KV,"	0.00199999999999534"
5,"21	",KV,"	0.007000000000005"
5,"22	",KV,"	0"
5,"23	",KV,"	0.00399999999999068"
6,"00	",KV,"	0"
6,"01	",KV,"	0"
6,"02	",KV,"	0"
6,"03	",KV,"	0"
6,"04	",KV,"	0"
6,"05	",KV,"	0.00400000000000489"
6,"06	",KV,"	0"
6,"07	",KV,"	0"
6,"08	",KV,"	0.0109999999999957"
6,"09	",KV,"	0.00800000000000978"
6,"10	",KV,"	0.00300000000000011"
6,"11	",KV,"	0.0609999999999928"
6,"12	",KV,"	0"
6,"13	",KV,"	0.00900000000000034"
6,"14	",KV,"	0.0300000000000011"
6,"15	",KV,"	0.0150000000000006"
6,"16	",KV,"	0.00600000000000023"
6,"17	",KV,"	0.00799999999999557"
6,"18	",KV,"	0.00900000000000034"
6,"19	",KV,"	0.00100000000000477"
6,"20	",KV,"	0.0139999999999958"
6,"21	",KV,"	0.0230000000000103"
6,"22	",KV,"	0.00399999999999068"
6,"23	",KV,"	0.00300000000000011"
7,"00	",KV,"	0"
7,"01	",KV,"	0"
7,"02	",KV,"	0"
7,"03	",KV,"	0"
7,"04	",KV,"	0"
7,"05	",KV,"	0"
7,"06	",KV,"	0"
7,"07	",KV,"	0.0150000000000006"
7,"08	",KV,"	0.0130000000000052"
7,"09	",KV,"	0.0519999999999925"
7,"10	",KV,"	0.0670000000000073"
7,"11	",KV,"	0"
7,"12	",KV,"	0"
7,"13	",KV,"	0.00100000000000477"
7,"14	",KV,"	0.0629999999999882"
7,"15	",KV,"	0.00500000000000966"
7,"16	",KV,"	0.00699999999999079"
7,"17	",KV,"	0.00300000000000011"
7,"18	",KV,"	0.00300000000000011"
7,"19	",KV,"	0.00200000000000955"
7,"20	",KV,"	0.0459999999999923"
7,"21	",KV,"	0.00300000000000011"
7,"22	",KV,"	0.0310000000000059"
7,"23	",KV,"	0.00399999999999068"
8,"00	",KV,"	0"
8,"01	",KV,"	0"
8,"02	",KV,"	0"
8,"03	",KV,"	0"
8,"04	",KV,"	0"
8,"05	",KV,"	0.00500000000000966"
8,"06	",KV,"	0"
8,"07	",KV,"	0.0210000000000008"
8,"08	",KV,"	0.0379999999999967"
8,"09	",KV,"	0.063999999999993"
8,"10	",KV,"	0.0630000000000024"
8,"11	",KV,"	0.0520000000000067"
8,"12	",KV,"	0.0439999999999969"
8,"13	",KV,"	0"
8,"14	",KV,"	0"
8,"15	",KV,"	0.0210000000000008"
8,"16	",KV,"	0.0259999999999962"
8,"17	",KV,"	0.0109999999999957"
8,"18	",KV,"	0.0560000000000116"
8,"19	",KV,"	0.000999999999990564"
